Exercise Type,Duration (min),Calories Burned,Meal Type,Calories Intake,"Macros (Protein, Carbs, Fat)",Water Intake (L),Hours Slept,Sleep Quality,Diet Plan,Vegetarian Meal Suggestion,Non-Vegetarian Meal Suggestion
Strength Training,112,118,Breakfast,648,"47g Protein, 67g Carbs, 26g Fat",2,8,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Strength Training,87,485,Lunch,525,"24g Protein, 71g Carbs, 25g Fat",2.7,5,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Cycling,21,99,Snack,725,"23g Protein, 60g Carbs, 26g Fat",0.8,4,Excellent,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Cycling,35,239,Dinner,556,"30g Protein, 32g Carbs, 29g Fat",3.2,9,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Cycling,31,152,Lunch,746,"32g Protein, 78g Carbs, 24g Fat",2.4,6,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Strength Training,116,56,Breakfast,848,"38g Protein, 40g Carbs, 27g Fat",1.9,9,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Cycling,27,386,Dinner,919,"13g Protein, 30g Carbs, 29g Fat",2.9,5,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Strength Training,57,623,Lunch,288,"39g Protein, 93g Carbs, 15g Fat",2.4,6,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Running,82,721,Dinner,360,"33g Protein, 95g Carbs, 24g Fat",1.7,8,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Cycling,88,597,Dinner,547,"24g Protein, 89g Carbs, 27g Fat",0.8,4,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Yoga,51,463,Breakfast,319,"49g Protein, 100g Carbs, 6g Fat",2.7,9,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Scrambled eggs with turkey sausage
Swimming,61,750,Dinner,364,"21g Protein, 67g Carbs, 29g Fat",0.7,10,Fair,Standard balanced diet.,Greek yogurt with berries and granola,Baked salmon with sweet potato and spinach
Yoga,64,710,Breakfast,854,"50g Protein, 47g Carbs, 8g Fat",1.1,10,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Running,117,502,Lunch,579,"43g Protein, 55g Carbs, 14g Fat",2.6,9,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Yoga,16,542,Breakfast,977,"16g Protein, 48g Carbs, 13g Fat",3.1,5,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Cycling,85,385,Snack,259,"47g Protein, 79g Carbs, 16g Fat",1,4,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Cycling,91,137,Breakfast,781,"42g Protein, 63g Carbs, 6g Fat",2.8,6,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Scrambled eggs with turkey sausage
Swimming,38,615,Dinner,516,"49g Protein, 73g Carbs, 24g Fat",1.7,9,Fair,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Strength Training,113,257,Snack,488,"25g Protein, 38g Carbs, 16g Fat",2.5,5,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Yoga,38,97,Dinner,819,"32g Protein, 52g Carbs, 24g Fat",2.1,7,Excellent,Balanced meal with lean protein.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Cycling,23,454,Dinner,568,"13g Protein, 46g Carbs, 15g Fat",0.9,10,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Running,67,264,Dinner,757,"40g Protein, 34g Carbs, 19g Fat",1.3,4,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Running,61,209,Snack,859,"25g Protein, 56g Carbs, 6g Fat",3.4,9,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Shrimp and avocado salad
Strength Training,82,414,Breakfast,680,"31g Protein, 92g Carbs, 17g Fat",3.5,5,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Strength Training,104,480,Dinner,928,"43g Protein, 63g Carbs, 20g Fat",2.5,5,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Running,67,161,Breakfast,349,"14g Protein, 57g Carbs, 24g Fat",2.9,10,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Swimming,97,199,Lunch,887,"38g Protein, 99g Carbs, 9g Fat",1.8,7,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Strength Training,108,143,Snack,769,"35g Protein, 28g Carbs, 19g Fat",2.3,4,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Yoga,73,102,Lunch,815,"12g Protein, 68g Carbs, 12g Fat",1.9,8,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Scrambled eggs with turkey sausage
Strength Training,41,731,Dinner,541,"50g Protein, 78g Carbs, 18g Fat",1.4,7,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Running,46,557,Snack,848,"15g Protein, 90g Carbs, 25g Fat",2.9,7,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Swimming,39,527,Snack,447,"47g Protein, 69g Carbs, 17g Fat",3.5,8,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Swimming,24,619,Lunch,462,"13g Protein, 89g Carbs, 25g Fat",0.8,4,Fair,Standard balanced diet.,Greek yogurt with berries and granola,Baked salmon with sweet potato and spinach
Strength Training,115,156,Lunch,440,"45g Protein, 87g Carbs, 15g Fat",1.2,6,Excellent,Balanced meal with lean protein.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Strength Training,90,477,Snack,940,"46g Protein, 89g Carbs, 16g Fat",1.6,5,Good,Balanced meal with lean protein.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Swimming,39,492,Dinner,621,"41g Protein, 84g Carbs, 28g Fat",2,5,Good,Standard balanced diet.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Swimming,37,645,Snack,616,"39g Protein, 66g Carbs, 19g Fat",1.5,8,Excellent,Standard balanced diet.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Strength Training,13,714,Dinner,244,"14g Protein, 48g Carbs, 14g Fat",3,4,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Cycling,56,505,Snack,700,"25g Protein, 84g Carbs, 11g Fat",1.7,10,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Yoga,17,174,Snack,1000,"14g Protein, 39g Carbs, 25g Fat",2,7,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Running,39,795,Snack,320,"39g Protein, 53g Carbs, 14g Fat",2.6,7,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,117,425,Dinner,513,"23g Protein, 77g Carbs, 18g Fat",2.6,5,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Strength Training,36,540,Dinner,985,"22g Protein, 33g Carbs, 28g Fat",1.3,6,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Shrimp and avocado salad
Swimming,109,510,Snack,615,"12g Protein, 96g Carbs, 10g Fat",1.7,8,Good,Standard balanced diet.,Vegetable curry with quinoa,Shrimp and avocado salad
Yoga,115,439,Lunch,565,"19g Protein, 94g Carbs, 19g Fat",2,9,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Swimming,61,101,Lunch,463,"20g Protein, 84g Carbs, 28g Fat",2.2,6,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
